no,Nama,Alamat,Latitude,Longtitude,Kode_Pos,Luas,Kapasitas,Keterangan_Lantai,Kode_Wilayah_1,Kode_Wilayah_2,Link_Maps,Jenis_Bencana
60,Balai Desa Sikampuh,"Jl. LumbaLumba No.16, Kaliterus, Sikampuh, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.623278803,109.1969554,\\N,0,0,\\N,3301180001,3301180,https://goo.gl/maps/QWnvnCv7EVskJWceA,"Angin kencang, Tanah longsor, dan Gempa bumi"
61,Balai Desa Karangturi,"Jl. Turonggo No.787, Karangturi, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.648888735,109.2215571,\\N,0,0,\\N,3301180002,3301180,https://goo.gl/maps/s9ajLyBmGUN3G5deA,"Angin kencang, Tanah longsor, dan Gempa bumi"
62,Balai Desa Ayamalas,"Jl. Bhayangkara, Karangasem, Ayamalas, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53281",-7.649014916,109.2415107,\\N,0,0,\\N,3301180003,3301180,https://goo.gl/maps/Pc6VhfSLTTZDURDv8,"Angin kencang, Tanah longsor, dan Gempa bumi"
63,Balai Desa Karangmangu,"Jl. Serayu II No.11, Kalisari, Karangmangu, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.639729181,109.2483182,\\N,0,0,\\N,3301180004,3301180,https://goo.gl/maps/ocW1XRMDZPQLaXk48,"Angin kencang, Tanah longsor, dan Gempa bumi"
64,Balai Desa Pucung Kidul,"Jl. Wijaya Kusuma No.1, Karangkemiri, Pucung Kidul, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.635810464,109.2713415,\\N,0,0,\\N,3301180005,3301180,https://goo.gl/maps/c24nTVhDyXtGWML89,"Angin kencang, Tanah longsor, dan Gempa bumi"
65,Balai Desa Mergawati,"Jl. Irian Jaya No.52, Ngulakawu, Mergawati, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.642952981,109.282631,\\N,0,0,\\N,3301180006,3301180,https://goo.gl/maps/GGSioZAZoCmegtJt7,"Angin kencang, Tanah longsor, dan Gempa bumi"
66,Balai Desa Pucung Lor,"Babakan, Pucung Lor, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.586622826,109.1134249,\\N,0,0,\\N,3301180007,3301180,https://goo.gl/maps/GCRj1VSP5A5WyE6Q8,"Angin kencang, Tanah longsor, dan Gempa bumi"
67,Balai Desa Bajing,"Jl. Letkol Sudarso No.11, Semingkir, Bajing, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.627507087,109.2517692,\\N,0,0,\\N,3301180008,3301180,https://goo.gl/maps/iGMaHnVFfQUw4mL2A,"Angin kencang, Tanah longsor, dan Gempa bumi"
68,Balai Desa Kroya,"Jl. Merbabu, Dongkelan, Kroya, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.63302274,109.2440086,\\N,0,0,\\N,3301180009,3301180,https://goo.gl/maps/v1rVjS3MFsSvNPGT8,"Angin kencang, Tanah longsor, dan Gempa bumi"
69,Balai Desa Pesanggrahan,"Watuagung, Pesanggrahan, Kec. Kesugihan, Kabupaten Cilacap, Jawa Tengah 53274",-7.872687487,112.5138104,\\N,0,0,\\N,3301140015,3301140,https://goo.gl/maps/1RrF5pcdRpnNVwvUA,"Angin kencang, Tanah longsor, dan Gempa bumi"
